State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,24/10/2025 17:39,27/10/2025 21:48,3 days 4 hours,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 18:09,24/10/2025 18:31,21 mins 43 secs,9.21,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 18:34,24/10/2025 18:51,17 mins 12 secs,8.68,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 19:07,24/10/2025 19:22,14 mins 51 secs,6.45,0.26,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0,0,0.53,0.53,0,0,0.53
Finished,24/10/2025 19:55,24/10/2025 20:06,10 mins 45 secs,3.03,0.26,0.53,0,0,0,0,0,0.26,0.26,0.13,0.53,0.53,0,0,0,0.53,0,0,0
Finished,24/10/2025 20:11,24/10/2025 22:16,2 hours 5 mins,8.03,0.26,0.53,0.53,0,0,0.53,0.53,0.13,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 21:30,24/10/2025 21:48,17 mins 14 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 22:09,24/10/2025 22:28,18 mins 36 secs,9.61,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,24/10/2025 22:13,24/10/2025 22:34,20 mins 56 secs,7.37,0.53,0.53,0.53,0,0,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,24/10/2025 22:17,24/10/2025 23:16,58 mins 41 secs,8.95,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,24/10/2025 22:26,25/10/2025 0:38,2 hours 11 mins,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,25/10/2025 12:34,25/10/2025 13:02,28 mins,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,25/10/2025 12:36,25/10/2025 13:01,25 mins 5 secs,8.95,0.26,0.53,0,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,25/10/2025 15:45,25/10/2025 15:59,14 mins 15 secs,6.71,0.53,0.53,0,0.53,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0,0,0,0.53,0.53,0,0.53
Finished,25/10/2025 15:55,25/10/2025 16:23,27 mins 14 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,25/10/2025 22:07,25/10/2025 22:20,13 mins 43 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,26/10/2025 12:50,26/10/2025 13:11,21 mins 24 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,26/10/2025 16:13,26/10/2025 17:27,1 hour 14 mins,9.21,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,26/10/2025 16:44,26/10/2025 17:03,18 mins 48 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,26/10/2025 17:05,26/10/2025 17:29,23 mins 32 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,26/10/2025 21:43,26/10/2025 22:08,24 mins 55 secs,8.42,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0,0,0.53
Finished,27/10/2025 7:16,27/10/2025 7:31,14 mins 53 secs,8.16,0.53,0.53,0.53,0,0,0.53,0,0.39,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 8:49,27/10/2025 9:18,28 mins 29 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 9:26,27/10/2025 10:16,50 mins 12 secs,6.05,0.26,0,0.53,0,0.53,0.53,0,0.53,0.26,0.53,0.26,0.53,0.53,0.53,0,0.53,0.53,0,0
Finished,27/10/2025 12:15,27/10/2025 12:30,15 mins 16 secs,7.11,0.26,0.53,0,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53
Finished,27/10/2025 18:09,27/10/2025 18:34,24 mins 48 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 19:34,27/10/2025 19:55,20 mins 20 secs,8.16,0.26,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,27/10/2025 19:46,27/10/2025 20:19,32 mins 32 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 19:56,27/10/2025 20:19,22 mins 52 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 19:56,27/10/2025 20:10,14 mins 12 secs,7.63,0.26,0.53,0,0,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,27/10/2025 21:20,27/10/2025 21:33,13 mins 13 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,28/10/2025 11:03,28/10/2025 11:32,29 mins 44 secs,8.03,0.53,0.53,0.53,0.53,0,0,0.53,0.39,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
Finished,28/10/2025 11:10,28/10/2025 11:26,16 mins 27 secs,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,28/10/2025 13:02,28/10/2025 13:16,13 mins 39 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,28/10/2025 14:58,28/10/2025 15:23,24 mins 34 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,28/10/2025 22:36,28/10/2025 23:02,25 mins 59 secs,6.32,0.26,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.26,0.53,0.53,0,0,0.53,0.53,0.53,0,0
Finished,29/10/2025 12:18,29/10/2025 12:30,11 mins 55 secs,6.32,0.26,0.53,0.53,0,0,0,0,0.26,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,29/10/2025 13:54,29/10/2025 15:00,1 hour 5 mins,9.47,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,29/10/2025 14:24,29/10/2025 14:43,19 mins 37 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,29/10/2025 16:02,29/10/2025 16:29,26 mins 41 secs,5.79,0.26,0.53,0,0,0,0,0.53,0.53,0.53,0.53,0.53,0.26,0,0,0.53,0.53,0,0.53,0.53
Finished,29/10/2025 16:15,29/10/2025 16:26,11 mins 47 secs,4.08,0.26,0.53,0,0,0,0,0,0.39,0.53,0.26,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,29/10/2025 16:41,29/10/2025 16:59,18 mins 8 secs,9.21,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,29/10/2025 17:01,29/10/2025 17:20,19 mins 53 secs,6.97,0.53,0.53,0,0,0,0,0.53,0.53,0.53,0.39,0.26,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
