State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,8/10/2025 11:29,8/10/2025 11:40,11 mins 56 secs,4.74,0.26,0.53,0.53,0,0,0,0,0.39,0.26,0.39,0.26,0,0,0,0.53,0.53,0.53,0,0.53
Finished,8/10/2025 11:48,9/10/2025 13:36,1 day 1 hour,8.29,0.26,0.53,0.53,0.53,0.53,0,0.53,0.39,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,8/10/2025 12:17,8/10/2025 12:38,20 mins 19 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 12:38,8/10/2025 12:57,18 mins 53 secs,5.13,0.53,0.53,0,0,0,0,0.53,0.39,0.53,0.53,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,8/10/2025 12:55,8/10/2025 13:03,7 mins 55 secs,8.68,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53
Finished,8/10/2025 13:52,8/10/2025 14:11,18 mins 55 secs,6.97,0.26,0.53,0.53,0,0.53,0,0,0.53,0.53,0.39,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 14:16,9/10/2025 12:16,21 hours 59 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 14:37,8/10/2025 15:13,35 mins 56 secs,6.58,0.53,0.53,0.53,0.53,0.53,0,0.53,0.39,0.53,0.39,0.53,0.53,0,0,0.53,0.53,0,0,0
Finished,8/10/2025 14:37,8/10/2025 15:10,32 mins 54 secs,8.82,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0,0.53,0.53,0.53,0,0.53,0.53
Finished,8/10/2025 14:40,8/10/2025 14:48,8 mins 54 secs,4.08,0.26,0.53,0.53,0,0,0,0,0.26,0.26,0.39,0.26,0.53,0,0,0,0.53,0,0,0.53
Finished,8/10/2025 15:25,8/10/2025 15:34,9 mins 18 secs,6.45,0.53,0.53,0,0.53,0,0.53,0.53,0.39,0.26,0.53,0.53,0.53,0,0,0.53,0,0,0.53,0.53
Finished,8/10/2025 15:59,8/10/2025 16:39,40 mins 12 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 16:17,8/10/2025 16:38,20 mins 37 secs,8.95,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 17:06,8/10/2025 17:19,12 mins 42 secs,5.66,0,0.53,0,0.53,0,0.53,0.53,0.26,0.26,0.39,0,0.53,0,0.53,0,0.53,0.53,0,0.53
Finished,8/10/2025 17:33,8/10/2025 17:50,17 mins 5 secs,8.82,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,8/10/2025 17:47,8/10/2025 18:03,16 mins 39 secs,8.03,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53
Finished,8/10/2025 18:07,8/10/2025 18:19,12 mins 16 secs,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 18:59,8/10/2025 19:20,21 mins 25 secs,5.13,0.26,0.53,0,0.53,0,0.53,0.53,0.39,0.53,0.53,0.26,0.53,0,0,0,0,0,0,0.53
Finished,8/10/2025 19:45,8/10/2025 19:58,12 mins 39 secs,8.82,0.26,0,0.53,0.53,0.53,0.53,0.53,0.39,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 19:57,8/10/2025 20:42,45 mins 40 secs,9.47,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 20:02,8/10/2025 20:19,16 mins 18 secs,9.08,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,8/10/2025 20:18,8/10/2025 20:24,6 mins 35 secs,3.42,0.53,0.53,0,0,0,0,0,0.26,0.26,0.26,0,0.53,0.53,0.53,0,0,0,0,0
Finished,8/10/2025 20:26,8/10/2025 20:34,7 mins 42 secs,4.47,0.26,0.53,0,0,0,0,0,0.39,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0,0,0.53
Finished,8/10/2025 20:27,8/10/2025 20:47,20 mins 26 secs,5.79,0.53,0,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0,0.26,0,0,0.53,0.53,0.53,0,0
Finished,8/10/2025 21:23,9/10/2025 14:26,17 hours 2 mins,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,8/10/2025 21:38,8/10/2025 21:50,11 mins 51 secs,7.76,0.53,0.53,0.53,0.53,0,0,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0,0.53,0.53
Finished,8/10/2025 22:43,9/10/2025 15:26,16 hours 43 mins,6.45,0.53,0,0.53,0.53,0,0.53,0.53,0.39,0.53,0.26,0.53,0.53,0,0,0.53,0.53,0.53,0,0
Finished,8/10/2025 22:48,8/10/2025 23:04,15 mins 11 secs,7.89,0.26,0.53,0.53,0.53,0,0.53,0.53,0.39,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0
Finished,8/10/2025 23:01,8/10/2025 23:12,10 mins 23 secs,9.21,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53
Finished,9/10/2025 0:29,9/10/2025 0:53,23 mins 32 secs,7.37,0,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0,0
Finished,9/10/2025 6:59,9/10/2025 7:18,19 mins 14 secs,8.03,0.53,0.53,0,0.53,0,0.53,0.53,0.39,0.53,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,9/10/2025 8:29,9/10/2025 8:49,20 mins 33 secs,7.89,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0.53,0.53
Finished,9/10/2025 12:53,9/10/2025 13:05,12 mins 45 secs,8.29,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0,0.53,0.53,0,0
Finished,9/10/2025 13:20,9/10/2025 13:28,8 mins,3.42,0.26,0.53,0,0,0,0,0,0.26,0.26,0.53,0.26,0.26,0,0,0.53,0,0,0,0.53
